image_id,dim0,dim1
4d390e07733ba06e5ff07412f09c0a92,3000,3000
289f69f6462af4933308c275d07060f0,3072,3072
68335ee73e67706aa59b8b55b54b11a4,2836,2336
7ecd6f67f649f26c05805c8359f9e528,2952,2744
2229148faa205e881cf0d932755c9e40,2880,2304
8c87779485ae5e21e25cb57e9510e149,3170,2642
76b23891649862f2b3b95f9bebf0a70c,2819,2545
ba1795ee5daae1ed415756c3f4f21b48,3408,3320
aa6475267e83947ee5078281a7ff3df3,3408,2597
051c2436c0acdb5e09d085c7e4a764f3,2728,2596
98617a2bbd11c4afa7be664889cdd6de,2861,2619
f9ce61e625356d31cf67c8ce97186d22,3170,2642
e6e1f33532a2f3f93d17d2be963cd122,3028,2728
5f9656fef011ff6876d88f8042a1ec7c,2542,2221
3a76b6f5eca1dc2946a8de6fe7764dc9,2376,2277
2a083ae0533547d99e2de9b96fbd50a4,2430,1994
1cd5b8ded8ace5645bb43e735915ff0b,2739,2462
9b69874234a431a37dba7ab9b7077514,2430,1994
ee58d3793efc6bf1c28ddcc58b01e158,2430,1994
9c41221ce46d36fc44d140e21c3f3da7,3103,2813
9ee55bf8ff67bdabab16632c38f0a964,3016,2804
622f218f5432f7b56cf58102be942094,3000,3000
99144763c1fc403f6a322d9e668bc6e6,2500,2048
55e76d25542c80eb46184eb9e62a26f5,3072,2540
fe9ae553a2fa76cba207ebd4b9b0cddb,2687,2511
909a642bf1da74701dee794385ef668c,2430,1994
487f2f5252187b5953745452b324bb63,2899,2406
46e19e88592e39d44a7fe59b7c3880cd,2430,1994
6763db1c0ea74e91fd71c6767fd433ac,2430,1994
66fccfbfc9d28fc707abb09ce631a42d,3408,2458
b369bab818248a8f8df4ddf5fce57537,3000,3000
d211355c013edb6306146222ebb2082f,2880,2304
5a64fc260f8abd7849fffb45acc39505,2300,2151
160bb47c3022a18a9e106c8794ddd4a0,3000,2829
3f13a6327a73f13a2968b3f6701b31a3,2469,2500
fbd897fc62fa777478c63fb052fe149e,3000,2952
08e3d3783927a15d35137c756c1a7e0b,3072,2540
34cf0e0224b5351949b986a7c0c51524,2909,2386
06aa6df528aa6ed39e732b186b38b915,3072,3072
ba4a00ea7764b5ee772792a50531e9e7,2880,2304
4529b87e145b07c60ef3c4e3c914dc78,3204,2780
0f4fd2b86df83111f83444ee90edbea1,2880,2304
8a0f681da75ca7a69658c793951d9c37,3072,3072
4f1aea7b3a7d3d3af2a5367565bc4f37,3072,3072
0d6231a3ed3eefc3ba60353b9ad00816,2880,2304
441a8ebadbd678f89684eb3f067ed205,2919,2562
7a7b30a642d5f305ccf5f7a6f2e901e8,3040,3072
80974692ba1a204134e0a5ef2b5dd43c,2360,2050
a663d37cb099452caaa1ad5930db9dce,3072,3072
bbf7e1f98708b3e698b20b788bc7aeb4,2679,2504
d312cdd620b130479bfea6128e47b2c4,3340,2664
8a454755517a41861d07dd898e6572a5,2880,2304
a90509f35d907cb42a35534f7be76b3c,3072,3072
66933a35e5d688feb7c68a2e01e73e70,3000,3000
6631f8a0aa875fccaa4b97beef657eee,2430,1994
d334ba0862d6d00b86cac697698a5fca,2430,1994
741a9166daa2a340054d0210a0d7879a,2723,2340
de10e290d77e87a1c5c66a9aa441b247,2500,2048
33db2b371f7527ae2cd349abe5a7c062,2880,2304
e17d969fef9169c3460a0817d60da54b,2979,2586
b30909789a5928b30bfa4739843e5bf0,2430,1994
34bc3d49ab74c913ee2517f5e0f4e09e,2880,2304
0c4a6bc602d1d207f217212c68a7131b,3072,3072
27f2f42991e439d26e96a9910db66efe,2836,2336
a16e36c62e62f0a087032cf651ad72b3,3204,2928
7d48ee923365d79f033147cd5f4aafc1,2500,2048
f969ea3d13295c6d9d1ace69fc0fa218,3096,2777
9b1d076abcb937c2e19f7c2e10dbcbc0,2552,2189
4d50404bd9b5f0a330835aecd681067c,2430,1994
3f2468ef0b5526f0e33834fa4e0fd85d,2880,2304
055859485d697b38ee46da1ab68e5f50,2500,2048
c58bc096aa929d9645f0a15a62771893,2880,2304
b41de357cd8bbef33ae563b6299f802c,2208,2688
af3e2ee699e10cbef074430f1e3f27f3,2430,1994
587f3132d4daeb685d6d480e3a72090e,2430,1994
564a53cd8024bc37490355d2f36b3642,3028,2517
33bfefddbcc3ffb6ccfac10b9fd63afc,2964,2316
7487afc84cf5bbc3de57737b08f6e87a,2382,2131
4a8bb8359d2b9f3abe9342a5aaf9178e,2430,1994
856b5a98ca275fb0b2e67be08efe1090,3032,2520
ccb985d9ce3e511785d15bc92dfb05b5,2836,2336
83996faf3ec99260348ba87a0afc9186,2836,2336
01d6446afde9fbf4332904bc331e9660,3072,3072
8f98e3e6e86e573a6bd32403086b3707,2208,2688
d07da8a9b93d7c684264ec8be14c0fe7,2828,2655
5673fae597c1b5218f79eead1f413da6,2880,2304
a05d02bcf44861404c6aa8e020e5de0e,2793,2359
5bf341e0d1f01bfe9be035593a6b5369,3072,2496
2ae73f853f1f9c23c2c9e200046665d1,2419,2541
